Timestamp,Name,Department,Which digital learning tools do you use regularly?,Which device do you primarily use to access these tools?,"On average, how many hours per week do you spend using digital learning tools?",Do you feel that digital learning tools have helped improve your grades or academic performance?,In what ways have digital learning tools influenced your learning experience?,Which specific digital tools do you believe have contributed the most to your academic success?,Have you noticed any changes in your academic performance since you started using digital learning tools?,How engaged do you feel during online classes or while using digital learning tools compared to traditional classroom settings?,Do digital learning tools encourage you to participate more actively in your studies?,What challenges do you face when using digital learning tools?,What improvements or features would you like to see in the digital learning tools you use?,How do you track your study habits and performance when using digital tools?
2024-09-04 10:33:22,Sakthi Navaneetha ,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,7-10 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management",Educational Apps ,Significant improvement,Equally engaged,Yes,Lack of interaction,,Self-tracking
2024-09-04 10:33:51,GOKULA PRIYA P ,CSE,"Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,4-6 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management, More efficient study habits",Youtube,Slight improvement,Equally engaged,Sometimes,"Technical issues, Lack of interaction",,Self-tracking
2024-09-04 10:34:12,Arini A,CSE ,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Laptop,1-3 hours,Yes,Enhanced understanding of subjects,Moodle ,No change,Equally engaged,Sometimes,Lack of interaction,,I don’t track
2024-09-04 10:34:20,Shalini.k ,Artificial intelligence and machine learning ,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,11-15 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management, More efficient study habits",Moodle,Significant improvement,More Engaged,Yes,"Technical issues, Lack of interaction, Distractions",Interactive quizzes,Self-tracking
2024-09-04 10:34:54,Praisey S,Cse,"Learning Management System (e.g., Moodle, Google Classroom)",Laptop,4-6 hours,Unsure,Increased engagement,,Slight improvement,More Engaged,Sometimes,Technical issues,,Self-tracking
2024-09-04 10:35:12,ANU VARSHINI M B,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,1-3 hours,Yes,Enhanced understanding of subjects,YouTube Tutorials,Slight improvement,More Engaged,Sometimes,Distractions,Immediate response of doubts,"Self-tracking, I don’t track"
2024-09-04 10:35:12,DHANALAKSHMI S,CSE,"Video Conferencing Tools (e.g., Zoom, Google Meet)",Laptop,1-3 hours,No,"Option ,Better time management",,Slight improvement,Equally engaged,Yes,Lack of interaction,,
2024-09-04 10:36:06,,,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet)",Laptop,7-10 hours,Yes,"Option ,Better time management, More efficient study habits",Coursera,Slight improvement,Equally engaged,Yes,"Technical issues, Overwhelming amount of tools, Difficulty in using tools",Dashboard features for tracking ,Through app usage statistics
2024-09-04 10:36:21,Ragavi k,Computer science and engineering ,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,More than 20 hours,Yes,"Option ,Better time management, More efficient study habits",Education apps,Significant improvement,More Engaged,Yes,Technical issues,,Self-tracking
2024-09-04 10:36:30,Mythili D,CSE ,"Learning Management System (e.g., Moodle, Google Classroom)",Laptop,1-3 hours,Yes,"Option ,Better time management, More efficient study habits",,Slight improvement,Equally engaged,Sometimes,"Technical issues, Lack of interaction",,Instructor feedback
